canonical_smiles,selfies,logThalf
COc1c2occc2cc2ccc(=O)oc12,[C][O][C][=C][O][C][=C][C][Ring1][Branch1][=C][C][C][=C][C][=Branch1][C][=O][O][C][Ring1][=C][=Ring1][#Branch1],0.3010299956639812
S=c1nc[nH]c2nc[nH]c12,[S][=C][N][=C][NH1][C][N][=C][NH1][C][Ring1][=Branch2][=Ring1][Branch1],0.0
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,[C][O][C][=Branch1][C][=O][C@H1][C@H1][C][C@@H1][C][NH1][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2][C][=Ring1][O][C][C][N][Ring1][#C][C][C@H1][Ring2][Ring1][Ring1][C][C@@H1][Branch2][Ring1][#Branch2][O][C][=Branch1][C][=O][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][N][C@@H1][Ring2][Ring2][=Branch1][O][C],2.3010299956639813
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,[C][N][Branch1][C][C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Ring1][#C],1.0433622780211296
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,[C][C@][C][C][C@H1][C@@H1][Branch1][P][C][C][C][=C][C][=Branch1][C][=O][C][C][C@@][Ring1][#Branch1][Ring1][O][C][C@@H1][Ring1][S][C][C][C@@H1][Ring2][Ring1][Ring1][O],2.2833012287035497
CC(=O)C[C@@H](c1ccccc1)c1c(O)oc2ccccc2c1=O,[C][C][=Branch1][C][=O][C][C@@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Branch1][C][O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][O][=O],1.462397997898956
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,[C][C][=Branch1][C][=O][C@H1][C][C][C@H1][C@@H1][C][C][C][=C][C][=Branch1][C][=O][C][C][C@][Ring1][#Branch1][Branch1][C][C][C@H1][Ring1][N][C][C][C@][Ring2][Ring1][Ring1][Ring1][S][C],1.541579243946581
CS(=O)(=O)OCCCCOS(C)(=O)=O,[C][S][=Branch1][C][=O][=Branch1][C][=O][O][C][C][C][C][O][S][Branch1][C][C][=Branch1][C][=O][=O],0.5314789170422551
CCN(CCO)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,[C][C][N][Branch1][Ring2][C][C][O][C][C][C][C@@H1][Branch1][C][C][N][C][=C][C][=N][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][O][Ring1][#Branch1],2.2362852774480286
CCC1(CC)C(=O)NC[C@@H](C)C1=O,[C][C][C][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][C][C@@H1][Branch1][C][C][C][Ring1][#Branch2][=O],0.9637878273455552
CCCC(C)(COC(N)=O)COC(N)=O,[C][C][C][C][Branch1][C][C][Branch1][Branch2][C][O][C][Branch1][C][N][=O][C][O][C][Branch1][C][N][=O],0.9822712330395684
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,[C][C@][C][=C][C][=Branch1][C][=O][C][=C][Ring1][#Branch1][C][C][C@@H1][C@@H1][Ring1][O][C][=Branch1][C][=O][C][C@@][Branch1][C][C][C@H1][Ring1][Branch2][C][C][C@][Ring1][=Branch1][Branch1][C][O][C][=Branch1][C][=O][C][O],0.414973347970818
CCN(CCO)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12,[C][C][N][Branch1][Ring2][C][C][O][C][C][C][C@H1][Branch1][C][C][N][C][=C][C][=N][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][O][Ring1][#Branch1],2.2362852774480286
O[C@](CCN1CCCC1)(c1ccccc1)C1CCCCC1,[O][C@][Branch1][#Branch2][C][C][N][C][C][C][C][Ring1][Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][C][C][Ring1][=Branch1],1.0791812460476249
CN(C)C(=O)Oc1ccc[n+](C)c1,[C][N][Branch1][C][C][C][=Branch1][C][=O][O][C][=C][C][=C][N+1][Branch1][C][C][=C][Ring1][#Branch1],0.4771212547196624
