canonical_smiles,selfies,logCmax
COC(=O)[C@@H](c1ccccc1)[C@@H]1CCCCN1,[C][O][C][=Branch1][C][=O][C@@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][C][C][C][C][N][Ring1][=Branch1],1.863322860120456
CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,[C][C][C][C][C][C][=Branch1][C][=O][O][C@][Branch1][=Branch1][C][Branch1][C][C][=O][C][C][C@H1][C@@H1][C][C][C][=C][C][=Branch1][C][=O][C][C][C@][Ring1][#Branch1][Branch1][C][C][C@H1][Ring1][N][C][C][C@@][Ring1][S][Ring2][Ring1][=Branch1][C],1.812913356642856
OCCOCCN1CCN([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1,[O][C][C][O][C][C][N][C][C][N][Branch2][Ring1][#Branch1][C@@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][C][Ring2][Ring1][Ring2],2.271609301378832
Cc1cccc(CN2CCN([C@H](c3ccccc3)c3ccc(Cl)cc3)CC2)c1,[C][C][=C][C][=C][C][Branch2][Ring2][Ring2][C][N][C][C][N][Branch2][Ring1][#Branch1][C@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][C][Ring2][Ring1][Ring2][=C][Ring2][Ring1][O],2.372175286115064
O=C([O-])CCCc1ccc(N(CCCl)CCCl)cc1,[O][=C][Branch1][C][O-1][C][C][C][C][=C][C][=C][Branch1][#Branch2][N][Branch1][Ring2][C][C][Cl][C][C][Cl][C][=C][Ring1][=N],3.204119982655925
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,[C][C][C][C][N][C][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1],5.337858429041094
Cc1cccc(CN2CCN([C@@H](c3ccccc3)c3ccc(Cl)cc3)CC2)c1,[C][C][=C][C][=C][C][Branch2][Ring2][Ring2][C][N][C][C][N][Branch2][Ring1][#Branch1][C@@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][C][Ring2][Ring1][Ring2][=C][Ring2][Ring1][O],2.372175286115064
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,[O][C][C][N][C][C][N][Branch2][Ring1][O][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Ring1][#C][C][C][Ring2][Ring1][Branch2],0.380211241711606
CCN1C(=O)N[C@H](c2ccccc2)C1=O,[C][C][N][C][=Branch1][C][=O][N][C@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][N][=O],4.5910646070265
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,[C][#C][C@][Branch1][C][O][C][C][C@H1][C@@H1][C][C][C][=C][C][=Branch1][C][=O][C][C][C@@H1][Ring1][#Branch1][C@H1][Ring1][O][C][C][C@@][Ring1][#C][Ring2][Ring1][Ring1][C],1.9434945159061023
CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,[C][C][C][=Branch1][C][=O][O][C@][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][C][C][N][Branch1][C][C][C],2.322219294733919
COc1ccccc1OC[C@@H](O)COC(N)=O,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C@@H1][Branch1][C][O][C][O][C][Branch1][C][N][=O],4.982271233039568
O=C([O-])c1cccnc1,[O][=C][Branch1][C][O-1][C][=C][C][=C][N][=C][Ring1][=Branch1],5.165244326125311
Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,[C][C][=C][C][=C][Branch2][Ring1][Branch1][/C][=Branch1][#Branch2][=C][\C][N][C][C][C][C][Ring1][Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][Ring2][Ring1][Ring2],1.7435097647284297
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,[C][C][Branch1][C][C][O][C@@H1][C][C@H1][C@@H1][C][C][C][=C][C][=Branch1][C][=O][C][=C][C@][Ring1][#Branch1][Branch1][C][C][C@@][Ring1][N][Branch1][C][F][C@@H1][Branch1][C][O][C][C@][Ring2][Ring1][C][Branch1][C][C][C@][Ring2][Ring1][=Branch1][Branch1][#Branch1][C][=Branch1][C][=O][C][O][O][Ring2][Ring1][=C],0.4116197059632301
CN1C(=O)CCS(=O)(=O)[C@@H]1c1ccc(Cl)cc1,[C][N][C][=Branch1][C][=O][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C@@H1][Ring1][=Branch2][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],4.227886704613674
CN1C(=O)CCS(=O)(=O)[C@H]1c1ccc(Cl)cc1,[C][N][C][=Branch1][C][=O][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C@H1][Ring1][=Branch2][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],4.227886704613674
C=CC[C@@]1([C@@H](C)C#CCC)C(=O)NC(=O)N(C)C1=O,[C][=C][C][C@@][Branch1][=Branch2][C@@H1][Branch1][C][C][C][#C][C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Branch1][C][C][C][Ring1][#C][=O],4.477121254719663
S=P(N1CC1)(N1CC1)N1CC1,[S][=P][Branch1][=Branch1][N][C][C][Ring1][Ring1][Branch1][=Branch1][N][C][C][Ring1][Ring1][N][C][C][Ring1][Ring1],4.012837224705172
C[C@@H](N)[C@@H](O)c1ccccc1,[C][C@@H1][Branch1][C][N][C@@H1][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],3.1760912590556813
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,[C][N][C][C][C@][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][O][C@H1][Ring1][#Branch2][C][=Branch1][C][=O][C][C][C@@][Ring1][#C][Branch1][C][O][C@H1][Ring2][Ring1][Ring2][C][Ring1][S],1.1702617153949575
CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,[C][C][=Branch1][C][=O][/N][=C][\S][C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][=N][N][Ring1][=Branch2][C],4.656098202012832
CCC[C@@](C)(COC(N)=O)COC(=O)NC(C)C,[C][C][C][C@@][Branch1][C][C][Branch1][Branch2][C][O][C][Branch1][C][N][=O][C][O][C][=Branch1][C][=O][N][C][Branch1][C][C][C],3.840106094456758
